N,p,q,type,rad_odd_p,rad_odd_q,conductor_proxy,rho
1024,413,611,Composite,413,611,63676989649,3.589005
1024,414,610,Composite,69,305,442892025,2.872238
1024,415,609,Composite,415,609,63874980225,3.589453
1024,416,608,Composite,13,19,61009,1.589673
1024,417,607,Mixed,417,607,64069228161,3.589891
1024,418,606,Composite,209,303,4010308929,3.190107
1024,419,605,Mixed,419,55,531072025,2.898433
1024,420,604,Composite,105,151,251381025,2.79053
1024,421,603,Mixed,421,201,7160713641,3.273746
1024,422,602,Composite,211,301,4033647121,3.190944
1024,423,601,Mixed,141,601,7181037081,3.274155
1024,424,600,Composite,53,15,632025,1.926962
1024,425,599,Mixed,85,599,2592337225,3.127161
1024,426,598,Composite,213,299,4056033969,3.191742
1024,427,597,Composite,427,597,64983696561,3.591936
1024,428,596,Composite,107,149,254179249,2.792127
1024,429,595,Composite,429,595,65155115025,3.592316
1024,430,594,Composite,215,33,50339025,2.558517
1024,431,593,Goldbach,431,593,65322669889,3.592686
1024,432,592,Composite,3,37,12321,1.358883
1024,433,591,Mixed,433,591,65486345409,3.593048
1024,434,590,Composite,217,295,4097920225,3.193224
1024,435,589,Composite,435,589,65646126225,3.593399
1024,436,588,Composite,109,21,5239521,2.2321
1024,437,587,Mixed,437,587,65801997361,3.593741
1024,438,586,Composite,219,293,4117403889,3.193909
1024,439,585,Mixed,439,195,7328216025,3.277081
1024,440,584,Composite,55,73,16120225,2.394237
1024,441,583,Composite,21,583,149891049,2.715934
1024,442,582,Composite,221,291,4135904721,3.194556
1024,443,581,Mixed,443,581,66246008689,3.594711
1024,444,580,Composite,111,145,259049025,2.794865
1024,445,579,Composite,445,579,66386099025,3.595016
1024,446,578,Composite,223,17,14371681,2.377673
1024,447,577,Mixed,447,577,66522210561,3.595312
1024,448,576,Composite,7,3,441,0.878463
1024,449,575,Mixed,449,115,2666173225,3.131212
1024,450,574,Composite,15,287,18533025,2.41436
1024,451,573,Composite,451,573,66782446929,3.595875
1024,452,572,Composite,113,143,261113281,2.79601
1024,453,571,Mixed,453,571,66906547569,3.596143
1024,454,570,Composite,227,285,4185443025,3.196273
1024,455,569,Mixed,455,569,67026621025,3.596402
1024,456,568,Composite,57,71,16378209,2.396527
1024,457,567,Mixed,457,21,92102409,2.645674
1024,458,566,Composite,229,283,4199947249,3.196772
1024,459,565,Composite,51,565,830304225,2.962906
1024,460,564,Composite,115,141,262926225,2.797008
1024,461,563,Goldbach,461,563,67362568849,3.597123
1024,462,562,Composite,231,281,4213437921,3.197235
1024,463,561,Mixed,463,561,67466426049,3.597345
1024,464,560,Composite,29,35,1030225,1.997453
1024,465,559,Composite,465,559,67566204225,3.597558
1024,466,558,Composite,233,93,469545561,2.880669
1024,467,557,Goldbach,467,557,67661894161,3.597762
1024,468,556,Composite,39,139,29387241,2.480869
1024,469,555,Composite,469,555,67753487025,3.597958
1024,470,554,Composite,235,277,4237359025,3.198052
1024,471,553,Composite,471,553,67840974369,3.598144
1024,472,552,Composite,59,69,16573041,2.398234
1024,473,551,Composite,473,551,67924348129,3.598321
1024,474,550,Composite,237,55,169911225,2.734021
1024,475,549,Composite,95,183,302238225,2.817111
1024,476,548,Composite,119,137,265787809,2.79857
1024,477,547,Mixed,159,547,7564302729,3.281656
1024,478,546,Composite,239,273,4257171009,3.198725
1024,479,545,Mixed,479,545,68149713025,3.598799
1024,480,544,Composite,15,17,65025,1.598871
1024,481,543,Composite,481,543,68216559489,3.59894
1024,482,542,Composite,241,271,4265526721,3.199008
1024,483,541,Mixed,483,541,68279257809,3.599073
1024,484,540,Composite,11,15,27225,1.473264
1024,485,539,Composite,485,77,1394649025,3.037725
1024,486,538,Composite,3,269,651249,1.931285
1024,487,537,Mixed,487,537,68392187361,3.599311
1024,488,536,Composite,61,67,16703569,2.399365
1024,489,535,Composite,489,535,68442408225,3.599417
1024,490,534,Composite,35,267,87329025,2.637996
1024,491,533,Mixed,491,533,68488460209,3.599514
1024,492,532,Composite,123,133,267616881,2.799559
1024,493,531,Composite,493,177,7614482121,3.28261
1024,494,530,Composite,247,265,4284357025,3.199643
1024,495,529,Composite,165,23,14402025,2.377977
1024,496,528,Composite,31,33,1046529,1.999718
1024,497,527,Composite,497,527,68601562561,3.599752
1024,498,526,Composite,249,263,4288547169,3.199784
1024,499,525,Mixed,499,105,2745236025,3.135428
1024,500,524,Composite,5,131,429025,1.87107
1024,501,523,Mixed,501,523,68656052529,3.599867
1024,502,522,Composite,251,87,476854569,2.882897
1024,503,521,Goldbach,503,521,68677015969,3.599911
1024,504,520,Composite,21,65,1863225,2.082937
1024,505,519,Composite,505,519,68693789025,3.599946
1024,506,518,Composite,253,259,4293787729,3.19996
1024,507,517,Composite,39,517,406546569,2.859885
1024,508,516,Composite,127,129,268402689,2.799982
1024,509,515,Mixed,509,515,68714758225,3.59999
1024,510,514,Composite,255,257,4294836225,3.199996
1024,511,513,Composite,511,57,848382129,2.966014
1024,512,512,Composite,1,1,1,0.0
